# ----------------------------------------
# kkr.com
# Channels
# 20180201-20180228
# ----------------------------------------

Default Channel Grouping,Date,Users,New Users,Sessions,Bounce Rate,Pages / Session,Avg. Session Duration,Global Perspectives Reading 15min (Goal 1 Conversion Rate),Global Perspectives Reading 15min (Goal 1 Completions),Global Perspectives Reading 15min (Goal 1 Value)
(Other),20180228,36,7,46,78.26%,1.80,00:01:19,4.35%,2,$0.00
Direct,20180228,746,590,798,62.78%,2.73,00:01:44,3.51%,28,$0.00
Email,20180228,6,0,11,72.73%,2.00,00:00:56,0.00%,0,$0.00
Organic Search,20180228,"3,674","2,663","4,004",50.05%,2.77,00:02:11,3.82%,153,$0.00
Referral,20180228,308,139,347,59.37%,2.24,00:01:22,2.88%,10,$0.00
Social,20180228,20,18,20,70.00%,1.65,00:00:28,0.00%,0,$0.00
,,"110,285","80,529","120,354",54.87%,2.67,00:01:58,3.53%,"4,248",$0.00

Day Index,Users
2/1/18,"4,786"
2/2/18,"3,944"
2/3/18,"1,798"
2/4/18,"2,310"
2/5/18,"4,623"
2/6/18,"5,191"
2/7/18,"4,722"
2/8/18,"4,843"
2/9/18,"3,948"
2/10/18,"1,591"
2/11/18,"2,034"
2/12/18,"4,437"
2/13/18,"5,722"
2/14/18,"5,082"
2/15/18,"4,823"
2/16/18,"3,790"
2/17/18,"1,619"
2/18/18,"1,886"
2/19/18,"3,642"
2/20/18,"4,879"
2/21/18,"4,604"
2/22/18,"4,755"
2/23/18,"4,350"
2/24/18,"1,903"
2/25/18,"2,207"
2/26/18,"4,898"
2/27/18,"4,850"
2/28/18,"4,686"
,"107,923"
